ID,Screen,Country / company,Claim,Source (APA),Link,Retrieved,Verified by,Notes,Quote
SG-27,dangers government,Singapore,"At Speakers' Corner in Hong Lim Park, only Singapore citizens and citizen-controlled entities may register freely; foreigners must obtain a police permit to organise, speak at or even participate in an event.",National Parks Board. (n.d.). Speakers Corner. NParks.,https://www.nparks.gov.sg/speakers-corner,2026-09-13,,,"Foreigners who wish to organise, speak at or participate in an event at the Speakers Corner are required to apply for a Police permit."
SG-28,dangers government,Singapore,"Events at Speakers' Corner relating to the Israel-Hamas conflict are refused on public safety and security grounds, showing how tightly assembly is managed even in the designated free-speech zone.",National Parks Board. (n.d.). Speakers Corner. NParks.,https://www.nparks.gov.sg/speakers-corner,2026-09-13,,,Any event and public assembly organised in relation to the Israel-Hamas conflict will be turned down
SG-29,dangers government,Singapore,"The Maintenance of Religious Harmony Act, enacted in 1990, plus the Penal Code, give the state broad powers over speech that wounds religious feelings or promotes enmity between groups.",Ministry of Home Affairs. (n.d.). Maintaining racial and religious harmony. Ministry of Home Affairs.,https://www.mha.gov.sg/what-we-do/managing-security-threats/maintaining-racial-and-religious-harmony/,2026-09-13,,,The Maintenance of Religious Harmony Act (MRHA) was enacted in 1990 to provide for powers to maintain religious harmony in Singapore.
SG-30,dangers society,Singapore,"Singapore's health system relies on co-payment: government subsidies cover up to 80 percent of bills in acute public hospital wards, with MediSave, MediShield Life and MediFund layered on top.","Commonwealth Fund. (n.d.). Singapore. International Health Policy Center, The Commonwealth Fund.",https://www.commonwealthfund.org/international-health-policy-center/countries/singapore,2026-09-13,,,up to 80 percent of medical bills in acute public hospital wards
SG-31,dangers society,Singapore,"Singapore spends comparatively little on health - 4.9 percent of GDP in 2022 (US$4,250 per capita) versus 8.2 percent for high-income countries - yet life expectancy reached 83.5 years in 2024.","Commonwealth Fund. (n.d.). Singapore. International Health Policy Center, The Commonwealth Fund.",https://www.commonwealthfund.org/international-health-policy-center/countries/singapore,2026-09-13,,,"In 2022, national health expenditure reached 4.9 percent of GDP, up from 3.3 percent in 2012"
SG-32,dangers society,Singapore,"Out-of-pocket payments still account for about a quarter of Singapore health spending (25.4 percent in 2023), and MediShield Life carries deductibles of S$1,500 to S$3,000 plus 3-10 percent coinsurance.","Commonwealth Fund. (n.d.). Singapore. International Health Policy Center, The Commonwealth Fund.",https://www.commonwealthfund.org/international-health-policy-center/countries/singapore,2026-09-13,,,"in 2023, it accounted for only 25.4 percent"
SG-33,dangers society,Singapore,"Singapore topped all participating countries and economies in PISA 2022, scoring 575 in mathematics, 543 in reading and 561 in science.",ILSA-Gateway. (2023). PISA 2022 results. ILSA-Gateway.,https://www.ilsa-gateway.org/studies/results/1612,2026-09-13,,,Singapore scored significantly higher than all other countries/economies in mathematics (575 points)
SG-34,dangers society,Singapore,"Singapore is ageing fast: 20.7 percent of citizens were 65 or older in June 2025, projected to reach 23.9 percent - roughly one in four - by 2030.",National Population and Talent Division. (2025). Longevity. Population.gov.sg.,https://www.population.gov.sg/our-population/population-trends/longevity/,2026-09-13,,,"The proportion of our citizen population aged 65 years and above is rising, and at a faster pace compared to the last decade."
SG-35,dangers society,Singapore,"Singapore has repeatedly been named the world's most expensive city in the EIU Worldwide Cost of Living survey, tied with Zurich; the EDB counters that estimated monthly living expenses for a single person are S$1,391 to S$4,076.",Singapore Economic Development Board. (n.d.). What does it really cost to live in Singapore - the world's 'most expensive' city? EDB.,https://www.edb.gov.sg/en/business-insights/insights/what-does-it-really-cost-to-live-in-singapore-the-worlds-most-expensive-city.html,2026-09-13,,,the Economist Intelligence Unit (EIU) Cost of Living survey declaring Singapore as the world's most expensive city - tied with Zurich
SG-36,dangers society,Singapore,"Housing costs are finally cooling: HDB resale prices fell 0.1 percent in Q1 2026, the first decline in nearly seven years, while private residential prices still rose 0.9 percent.","Mothership. (2026, April). HDB resale prices fell by 0.1%, private housing prices rose 0.9%, in 1st quarter 2026. Mothership.SG.",https://mothership.sg/2026/04/hdb-ura-real-estate-statistics/,2026-09-13,,,the first decline of resale prices in nearly seven years since the second quarter of 2019
SG-37,dangers security,Singapore,"Physical crime remains very low but ticked up in 2025: reported physical crime cases rose from 19,969 in 2024 to 20,857 in 2025.","Singapore Police Force. (2026, February). Annual crime brief 2025. Singapore Police Force.",https://www.police.gov.sg/-/media/SPF/Media-Room/Statistics/Annual-Crime-Brief-2025/Annual-Crime-Brief-2025.pdf,2026-09-13,,,"The total number of physical crime cases reported increased slightly from 19,969 in 2024 to 20,857 in 2025."
SG-38,dangers security,Singapore,"Scams are the dominant crime risk: scam cases fell 27.6 percent to 37,308 in 2025, but e-commerce, phishing, job and investment scams remain the top categories.","Singapore Police Force. (2026, February). Annual scam and cybercrime brief 2025. Singapore Police Force.",https://www.police.gov.sg/-/media/SPF/Media-Room/Statistics/Annual-Scams-and-Cybercrime-Brief-2025/Annual-Scam-and-Cybercrime-Brief-2025.pdf,2026-09-13,,,"The number of scam cases fell by 27.6% to 37,308 scam cases in 2025, from 51,501 cases in 2024."
SG-39,dangers security,Singapore,"Scam losses in Singapore fell 17.9 percent to about S$913.1 million in 2025, down from roughly S$1,112.4 million in 2024.","Singapore Police Force. (2026, February). Annual scam and cybercrime brief 2025. Singapore Police Force.",https://www.police.gov.sg/-/media/SPF/Media-Room/Statistics/Annual-Scams-and-Cybercrime-Brief-2025/Annual-Scam-and-Cybercrime-Brief-2025.pdf,2026-09-13,,,"The losses from scams also fell, by 17.9% to about $913.1 million in 2025, from about $1,112.4 million in 2024."
SG-40,dangers security,Singapore,"Singapore's Internal Security Department assessed in July 2025 that the terrorism threat remains high, driven by self-radicalisation and by AI as an emerging terrorism enabler.","Internal Security Department. (2025, July 29). Singapore terrorism threat assessment report 2025. Internal Security Department.",https://www.isd.gov.sg/news-and-resources/singapore-terrorism-threat-assessment-report-2025/,2026-09-13,,,The terrorism threat to Singapore remains high.
SG-41,dangers security,Singapore,"Trafficking more than 15 grammes of diamorphine (heroin) carries the death penalty under Singapore's Misuse of Drugs Act, and executions continue to be carried out.","Central Narcotics Bureau. (2025, September 25). Execution of a convicted drug trafficker - 25 September 2025. Central Narcotics Bureau.",https://www.cnb.gov.sg/mediaroom/news/execution-of-a-convicted-drug-trafficker---25-september-2025/,2026-09-13,,,The Misuse of Drugs Act provides for the death penalty if the amount of diamorphine trafficked is more than 15 grammes.
SG-42,dangers security,Singapore,"US official travel guidance warns that vandalism offences in Singapore carry mandatory caning and that jaywalking, littering or spitting can lead to arrest.","U.S. Department of State. (2026, March 9). Singapore international travel information. Bureau of Consular Affairs.",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Singapore.html,2026-09-13,,,Vandalism offenses - mandatory caning
SG-43,dangers security,Singapore,"Littering is prosecuted under the Environmental Public Health Act with fines of up to S$2,000 for a first conviction, rising to S$10,000 for third and subsequent convictions, plus Corrective Work Orders of up to 12 hours.","National Environment Agency. (n.d.). $3,600 fine and 12 hours of corrective work order for recalcitrant littering offender. NEA.",https://www.nea.gov.sg/media/news/advisories/index/3-600-fine-and-12-hours-of-corrective-work-order-for-recalcitrant-littering-offender,2026-09-13,,,requiring offenders to clean public areas for up to 12 hours
SG-44,dangers security,Singapore,"Flash floods are a real but contained risk: PUB says extremely heavy rain can exceed drain capacity, though flood-prone areas have shrunk 99 percent from about 3,200 hectares in the 1970s to 25 hectares today.","PUB, Singapore's National Water Agency. (n.d.). About floods. PUB.",https://www.pub.gov.sg/Public/KeyInitiatives/Flood-Resilience/About-Floods,2026-09-13,,,"Flood-prone areas in Singapore have reduced by 99% from about 3,200 hectares in the 1970s to 25 hectares today."
SG-45,dangers security,Singapore,"From 1 May 2026 vape offences involving etomidate carry fines up to S$20,000 or up to 10 years' jail for individuals, with caning for suppliers and importers.",Health Sciences Authority. (2026). Vaping enforcement. Health Sciences Authority.,https://www.hsa.gov.sg/tobacco-regulation/vaping-enforcement/,2026-09-13,,,"Can be fined up to $20,000, or face up to 10 years of imprisonment, or both"
SG-46,dangers economy,Singapore,The United States imposed a 10 percent reciprocal tariff on imports from Singapore with effect from 5 April 2025.,"Enterprise Singapore. (2025, April 14). FAQs on US tariffs. Enterprise Singapore.",https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/ussfta/faqs-on-us-tariffs.pdf,2026-09-13,,,The US' 10% tariffs on imports from Singapore came into effect on 5 April 2025
SG-47,dangers economy,Singapore,Having a free trade agreement with the US does not shield Singapore exporters: goods qualifying under the USSFTA are generally not exempt from the 10 percent tariff.,"Enterprise Singapore. (2025, April 14). FAQs on US tariffs. Enterprise Singapore.",https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/ussfta/faqs-on-us-tariffs.pdf,2026-09-13,,,Goods that qualify for the USSFTA are generally not exempted from the US' 10% tariffs
SG-48,dangers economy,Singapore,"In a ministerial statement on 8 April 2025 PM Lawrence Wong told Parliament that the tariff shock marks the end of an era, saying the rules-based trading system would unravel.","Prime Minister's Office Singapore. (2025, April 8). Ministerial statement by PM Lawrence Wong on the US tariffs and implications. Prime Minister's Office.",https://www.pmo.gov.sg/newsroom/ministerial-statement-by-pm-lawrence-wong-on-the-us-tariffs-and-implication/,2026-09-13,,,the era of rules-based globalisation and free trade is over
SG-49,dangers economy,Singapore,On 11 August 2026 MTI upgraded its 2026 GDP growth forecast to 4.5-5.5 percent after the economy grew 5.9 percent year on year in 2Q2026 and 6.1 percent in the first half.,"Ministry of Trade and Industry. (2026, August 11). MTI upgrades 2026 GDP growth forecast to ""4.5 to 5.5 per cent"". Ministry of Trade and Industry.",https://www.mti.gov.sg/newsroom/mti-upgrades-2026-gdp-growth-forecast-to--4-5-to-5-5-per-cent-/,2026-09-13,,,4.5 to 5.5 per cent
SG-50,dangers economy,Singapore,"MTI attributes the 2026 upgrade partly to the global AI capital expenditure boom, which is lifting Singapore's electronics and export-facing sectors.","Ministry of Trade and Industry. (2026, August 11). MTI upgrades 2026 GDP growth forecast to ""4.5 to 5.5 per cent"". Ministry of Trade and Industry.",https://www.mti.gov.sg/newsroom/mti-upgrades-2026-gdp-growth-forecast-to--4-5-to-5-5-per-cent-/,2026-09-13,,,the acceleration in global AI-related capital expenditure
SG-51,dangers economy,Singapore,"Coface flags Singapore's dependence on imported energy and food, labour and housing shortages, and an elderly dependency ratio of 27 percent.","Coface. (2026). Singapore: Country file, economic risk analysis. Coface.",https://www.coface.com/news-economy-and-insights/business-risk-dashboard/country-risk-files/singapore,2026-09-13,,,Dependent on exports and imports (energy and food)
SG-52,dangers economy,Singapore,"Coface notes Singapore is vulnerable to a structural slowdown in China and to great-power tensions; its export mix is led by China (12 percent), Hong Kong (11 percent), Malaysia (10 percent) and the USA (9 percent).","Coface. (2026). Singapore: Country file, economic risk analysis. Coface.",https://www.coface.com/news-economy-and-insights/business-risk-dashboard/country-risk-files/singapore,2026-09-13,,,Vulnerable to the structural slowdown of the Chinese economy and geopolitical tensions
SG-53,dangers economy,Singapore,"Singapore's economy runs on imported labour: the total foreign workforce was 1,635,700 as at December 2025, including 203,300 Employment Pass holders and 1,222,700 Work Permit holders.",Ministry of Manpower. (2026). Foreign workforce numbers. Ministry of Manpower.,https://www.mom.gov.sg/foreign-workforce-numbers,2026-09-13,,,Total foreign workforce
SG-54,money matters,Singapore,"The stock of foreign direct investment in Singapore's corporate sector rose 9.5 percent to S$3,130 billion as at end-2024, with the US, Japan, the UK and Hong Kong the leading sources.",Department of Statistics Singapore. (2025). Foreign direct investment in Singapore 2024. SingStat.,https://www.singstat.gov.sg/news/foreign-direct-investment-in-singapore-2024,2026-09-13,,,"The stock of Foreign Direct Investment (FDI) in Singapore's Corporate Sector increased 9.5% to reach $3,130 bil as at end 2024."
SG-55,money matters,Singapore,"The United States is Singapore's largest single source of FDI, with US$424.2 billion of FDI stock in 2023, while Singapore held over US$58 billion of FDI stock in the US.",International Trade Administration. (n.d.). Singapore - Market overview. U.S. Department of Commerce.,https://www.trade.gov/country-commercial-guides/singapore-market-overview,2026-09-13,,,the United States investing US$424.2 billion in FDI stock in the island nation in 2023
SG-56,money matters,Singapore,"Singapore has no blanket cap on foreign ownership, but broadcasting is restricted: no foreign source may hold 49 percent or more of the shares or voting power in a broadcasting company.",Lex Mundi. (n.d.). Singapore. Foreign investment restrictions guide. Lex Mundi.,https://www.lexmundi.com/guides/foreign-investment-restrictions-guide/jurisdictions/asia-pacific/singapore/,2026-09-13,,,"is prohibited from holding 49% or more of the shares or controlling 49% or more of the voting power, in a broadcasting company"
SG-57,money matters,Singapore,Foreigners cannot freely buy landed residential property in Singapore: a transfer or sale to a foreign person without the required approval is null and void.,Lex Mundi. (n.d.). Singapore. Foreign investment restrictions guide. Lex Mundi.,https://www.lexmundi.com/guides/foreign-investment-restrictions-guide/jurisdictions/asia-pacific/singapore/,2026-09-13,,,Any transfer or sale of a landed residential property to a foreign person without the requisite approval...is null and void.
SG-58,money matters,Singapore,"EDB's Pioneer Certificate and Development and Expansion Incentive give approved companies a corporate tax exemption or a concessionary rate of 5 or 10 percent on qualifying income, for an incentive period limited to five years.",Singapore Economic Development Board. (n.d.). Pioneer Certificate Incentive and Development and Expansion Incentive [Brochure]. EDB.,https://www.edb.gov.sg/content/dam/edb-zh/downloads/brochures/PC%20and%20DEI%20Brochure.pdf,2026-09-13,,,"a corporate tax exemption or a concessionary tax rate of 5% or 10%, respectively, on income derived from qualifying activities"
SG-59,money matters,Singapore,Singapore's headline corporate income tax rate is 17 percent.,"Inland Revenue Authority of Singapore. (n.d.). Corporate income tax rate, rebates and tax exemption schemes. IRAS.",https://www.iras.gov.sg/taxes/corporate-income-tax/basics-of-corporate-income-tax/corporate-income-tax-rate-rebates-and-tax-exemption-schemes,2026-09-13,,,Singapore's Corporate Income Tax rate is 17%.
SG-60,money matters,Singapore,"Singapore imposes no significant restrictions on foreign exchange transactions or capital movements, so profits and capital can be repatriated freely.",Deloitte. (2025). International tax: Singapore highlights 2025. Deloitte Touche Tohmatsu Limited.,https://www.deloitte.com/content/dam/assets-shared/docs/services/tax/2025/dttl-tax-singaporehighlights-2025.pdf,2026-09-13,,,There are no significant restrictions on foreign exchange transactions and capital
SG-61,money matters,Singapore,"Singapore does not levy withholding tax on dividends paid to residents or non-residents, which simplifies profit repatriation.",Deloitte. (2025). International tax: Singapore highlights 2025. Deloitte Touche Tohmatsu Limited.,https://www.deloitte.com/content/dam/assets-shared/docs/services/tax/2025/dttl-tax-singaporehighlights-2025.pdf,2026-09-13,,,Singapore does not impose withholding tax on dividends.
SG-62,money matters,Singapore,Singapore adopted the OECD Pillar Two global minimum tax: an MNE top-up tax (income inclusion rule) and a domestic top-up tax apply for accounting periods beginning on or after 1 January 2025.,Deloitte. (2025). International tax: Singapore highlights 2025. Deloitte Touche Tohmatsu Limited.,https://www.deloitte.com/content/dam/assets-shared/docs/services/tax/2025/dttl-tax-singaporehighlights-2025.pdf,2026-09-13,,,An MNE top-up tax implementing the income inclusion rule (IIR) and a domestic top-up tax
SG-63,money matters,Singapore,The US-Singapore Free Trade Agreement has been in effect since 2004 and was the first FTA between the United States and an Asian country.,Ministry of Foreign Affairs Singapore. (n.d.). United States. Ministry of Foreign Affairs.,https://www.mfa.gov.sg/about-mfa/foreign-policy/countries-and-regions/united-states/,2026-09-13,,,US-Singapore Free Trade Agreement that came into force in 2004 was the first FTA between the US and an Asian country
SG-64,money matters,Singapore,Incorporating a company in Singapore through ACRA's BizFile costs S$315 in government fees - a S$15 name application fee plus a S$300 incorporation fee.,Accounting and Corporate Regulatory Authority. (n.d.). Choosing a business structure. ACRA.,https://www.acra.gov.sg/how-to-guides/before-you-start/choosing-a-business-structure,2026-09-13,,,$315 ($15 name application fee and $300 incorporation fee)
SG-65,money matters,Singapore,"EDB reported on 9 February 2026 that Singapore secured S$14.2 billion of fixed asset investment commitments and S$8.9 billion in annual business expenditure in 2025, expected to create 15,700 jobs.","Singapore Economic Development Board. (2026, February 9). EDB year 2025 in review. EDB.",https://www.edb.gov.sg/en/about-edb/media-releases-publications/edb-year-2025-in-review.html,2026-09-13,,,investment commitments will take place over the next five years
SG-66,political weather,Singapore,Former transport minister S. Iswaran was jailed for 12 months on 3 October 2024 after pleading guilty to four counts of improperly receiving gifts and one of obstructing justice - Singapore's first political corruption trial in nearly half a century.,"Al Jazeera. (2024, October 3). Singapore's ex-transport minister jailed for 12 months in landmark ruling. Al Jazeera.",https://www.aljazeera.com/news/2024/10/3/singapores-ex-transport-minister-jailed-for-12-months-in-landmark-ruling,2026-09-13,,,four counts of improperly receiving gifts and one of obstructing justice
SG-67,political weather,Singapore,CPIB remains visibly active in the private sector: on 7 September 2026 it charged a former senior project manager and a director with alleged corruption and money laundering offences.,"Corrupt Practices Investigation Bureau. (2026, September 7). Former senior project manager and director charged with alleged corruption and money laundering offences. CPIB.",https://www.cpib.gov.sg/,2026-09-13,,,Former Senior Project Manager and Director Charged with Alleged Corruption and Money Laundering Offences
SG-68,political weather,Singapore,"Singapore has an extensive trade network of 29 implemented free trade agreements, including the CPTPP among 12 economies, RCEP among 15 countries, and the EU-Singapore FTA.",Ministry of Trade and Industry. (n.d.). Free trade agreements (FTAs). Ministry of Trade and Industry.,https://www.mti.gov.sg/trade-international-economic-relations/agreements/free-trade-agreements-fta/,2026-09-13,,,"Over the years, it has forged an extensive network of 29 implemented agreements."
SG-69,political weather,Singapore,"Singapore's total merchandise trade was S$1,397.7 billion in 2025, an 8.7 percent increase, with Taiwan, mainland China, Malaysia and the United States its top trading partners.",Department of Statistics Singapore. (2026). Singapore international trade [Infographic]. SingStat.,https://www.singstat.gov.sg/-/media/files/visualising_data/infographics/trade_and_investment/singapore-international-trade.ashx,2026-09-13,,,"Taiwan, Mainland China, Malaysia and the US were Singapore's top trading partners"
SG-70,political weather,Singapore,"China has been Singapore's largest trading partner since 2013, and Singapore has been China's largest foreign investor; the relationship is framed as an ""All-Round Cooperative Partnership Progressing with the Times"".",Ministry of Foreign Affairs Singapore. (n.d.). People's Republic of China. Ministry of Foreign Affairs.,https://www.mfa.gov.sg/about-mfa/foreign-policy/countries-and-regions/peoples-republic-of-china/,2026-09-13,,,"Since 2013, China has been Singapore's largest trading partner"
SG-71,political weather,Singapore,"Singapore keeps close defence ties with the US through the 1990 MOU on use of facilities, the 2005 Strategic Framework Agreement and the 2015 enhanced Defence Cooperation Agreement, while calling the US its largest foreign direct investor by country.",Ministry of Foreign Affairs Singapore. (n.d.). United States. Ministry of Foreign Affairs.,https://www.mfa.gov.sg/about-mfa/foreign-policy/countries-and-regions/united-states/,2026-09-13,,,"Singapore enjoys strong and longstanding defence, economic and political relations with the US."
