indicator,country,year,value,sample
wgi_rule_of_law,VN,2024,56.9,true
wgi_rule_of_law,VN,2025,54.2,true
wgi_control_of_corruption,SG,2016,97.3,true
wgi_control_of_corruption,SG,2017,96.8,true
wgi_control_of_corruption,SG,2018,97.4,true
wgi_control_of_corruption,SG,2019,97.8,true
wgi_control_of_corruption,SG,2020,97.4,true
wgi_control_of_corruption,SG,2021,97.5,true
wgi_control_of_corruption,SG,2022,98.2,true
wgi_control_of_corruption,SG,2023,97.7,true
wgi_control_of_corruption,SG,2024,98.5,true
wgi_control_of_corruption,SG,2025,97.8,true
wgi_control_of_corruption,VN,2016,41.8,true
wgi_control_of_corruption,VN,2017,43.2,true
wgi_control_of_corruption,VN,2018,43.5,true
wgi_control_of_corruption,VN,2019,43.3,true
wgi_control_of_corruption,VN,2020,46,true
wgi_control_of_corruption,VN,2021,45.2,true
wgi_control_of_corruption,VN,2022,44.8,true
wgi_control_of_corruption,VN,2023,46.1,true
wgi_control_of_corruption,VN,2024,46.9,true
wgi_control_of_corruption,VN,2025,48.7,true
gpi_rank,SG,2016,9,true
gpi_rank,SG,2017,9,true
gpi_rank,SG,2018,7,true
gpi_rank,SG,2019,8,true
gpi_rank,SG,2020,8,true
gpi_rank,SG,2021,6,true
gpi_rank,SG,2022,8,true
gpi_rank,SG,2023,6,true
gpi_rank,SG,2024,6,true
gpi_rank,SG,2025,7,true
gpi_rank,VN,2016,48,true
gpi_rank,VN,2017,49,true
gpi_rank,VN,2018,47,true
gpi_rank,VN,2019,46,true
gpi_rank,VN,2020,44,true
gpi_rank,VN,2021,44,true
gpi_rank,VN,2022,45,true
gpi_rank,VN,2023,46,true
gpi_rank,VN,2024,39,true
gpi_rank,VN,2025,41,true
fdi_inflow_usd_bn,SG,2016,86,true
fdi_inflow_usd_bn,SG,2017,86,true
fdi_inflow_usd_bn,SG,2018,82.7,true
fdi_inflow_usd_bn,SG,2019,98.5,true
fdi_inflow_usd_bn,SG,2020,99.1,true
fdi_inflow_usd_bn,SG,2021,126.3,true
fdi_inflow_usd_bn,SG,2022,122.6,true
fdi_inflow_usd_bn,SG,2023,121.9,true
fdi_inflow_usd_bn,SG,2024,144.6,true
fdi_inflow_usd_bn,SG,2025,145.4,true
fdi_inflow_usd_bn,VN,2016,12,true
fdi_inflow_usd_bn,VN,2017,13.1,true
fdi_inflow_usd_bn,VN,2018,13.8,true
fdi_inflow_usd_bn,VN,2019,15.3,true
fdi_inflow_usd_bn,VN,2020,15.2,true
fdi_inflow_usd_bn,VN,2021,16.2,true
fdi_inflow_usd_bn,VN,2022,18.7,true
fdi_inflow_usd_bn,VN,2023,17.6,true
fdi_inflow_usd_bn,VN,2024,19.6,true
fdi_inflow_usd_bn,VN,2025,20,true
inform_risk,SG,2016,0.8,true
inform_risk,SG,2017,0.8,true
inform_risk,SG,2018,0.8,true
inform_risk,SG,2019,0.7,true
inform_risk,SG,2020,0.7,true
inform_risk,SG,2021,0.7,true
inform_risk,SG,2022,0.8,true
inform_risk,SG,2023,0.7,true
inform_risk,SG,2024,0.7,true
inform_risk,SG,2025,0.7,true
inform_risk,VN,2016,3.7,true
inform_risk,VN,2017,3.7,true
inform_risk,VN,2018,3.6,true
inform_risk,VN,2019,3.6,true
inform_risk,VN,2020,3.6,true
inform_risk,VN,2021,3.6,true
inform_risk,VN,2022,3.5,true
inform_risk,VN,2023,3.5,true
inform_risk,VN,2024,3.4,true
inform_risk,VN,2025,3.5,true
homicide_rate,SG,2016,0.19,true
homicide_rate,SG,2017,0.16,true
homicide_rate,SG,2018,0.17,true
homicide_rate,SG,2019,0.17,true
homicide_rate,SG,2020,0.14,true
homicide_rate,SG,2021,0.17,true
homicide_rate,SG,2022,0.16,true
homicide_rate,SG,2023,0.15,true
homicide_rate,SG,2024,0.13,true
homicide_rate,SG,2025,0.08,true
homicide_rate,VN,2016,1.6,true
homicide_rate,VN,2017,1.5,true
homicide_rate,VN,2018,1.7,true
homicide_rate,VN,2019,1.6,true
homicide_rate,VN,2020,1.7,true
homicide_rate,VN,2021,1.5,true
homicide_rate,VN,2022,1.6,true
homicide_rate,VN,2023,1.6,true
homicide_rate,VN,2024,1.6,true
homicide_rate,VN,2025,1.4,true
hdi,SG,2016,0.926,true
hdi,SG,2017,0.931,true
hdi,SG,2018,0.933,true
hdi,SG,2019,0.931,true
hdi,SG,2020,0.935,true
hdi,SG,2021,0.936,true
hdi,SG,2022,0.941,true
hdi,SG,2023,0.942,true
hdi,SG,2024,0.946,true
hdi,SG,2025,0.947,true
hdi,VN,2016,0.696,true
hdi,VN,2017,0.696,true
hdi,VN,2018,0.699,true
hdi,VN,2019,0.704,true
hdi,VN,2020,0.71,true
hdi,VN,2021,0.711,true
hdi,VN,2022,0.718,true
hdi,VN,2023,0.719,true
hdi,VN,2024,0.722,true
hdi,VN,2025,0.727,true
life_expectancy,SG,2016,83.1,true
life_expectancy,SG,2017,82.9,true
life_expectancy,SG,2018,83,true
life_expectancy,SG,2019,82.9,true
life_expectancy,SG,2020,83.4,true
life_expectancy,SG,2021,83.2,true
life_expectancy,SG,2022,83.6,true
life_expectancy,SG,2023,83.7,true
life_expectancy,SG,2024,83.7,true
life_expectancy,SG,2025,83.8,true
life_expectancy,VN,2016,73.2,true
life_expectancy,VN,2017,73.7,true
life_expectancy,VN,2018,73.7,true
life_expectancy,VN,2019,73.9,true
life_expectancy,VN,2020,73.9,true
life_expectancy,VN,2021,73.8,true
life_expectancy,VN,2022,74.3,true
life_expectancy,VN,2023,74.4,true
life_expectancy,VN,2024,74.3,true
life_expectancy,VN,2025,74.8,true
trade_openness,SG,2016,298,true
trade_openness,SG,2017,296,true
trade_openness,SG,2018,307,true
trade_openness,SG,2019,316,true
trade_openness,SG,2020,323,true
trade_openness,SG,2021,314,true
trade_openness,SG,2022,304,true
trade_openness,SG,2023,320,true
trade_openness,SG,2024,315,true
trade_openness,SG,2025,320,true
trade_openness,VN,2016,183,true
trade_openness,VN,2017,184,true
trade_openness,VN,2018,192,true
trade_openness,VN,2019,192,true
trade_openness,VN,2020,194,true
trade_openness,VN,2021,189,true
trade_openness,VN,2022,181,true
trade_openness,VN,2023,193,true
trade_openness,VN,2024,186,true
trade_openness,VN,2025,192,true
